Class,BaseType,DropLevel,Rarity,Height,Width,Sockets,Quality,Corrupted,SubGroup A,SubGroup B,SubGroup Tier,Game:Strength,Game:Dexterity,Game:Intelligence,Game:Damage From,Game:Damage To,Game:APS,Game:DPS,Game:Crit,Game:Implicit 1,Game:Implicit 2,Game:Armour,Game:Armour Max,Game:Evasion,Game:Evasion Max,Game:Energy Shield,Game:Energy Shield Max,Game:Block
Stackable Currency,Albino Rhoa Feather,1,,1,1,,,,defa,,1,,,,,,,,,,,,,,,,,
Stackable Currency,Mirror of Kalandra,35,,1,1,,,,defa,,1,,,,,,,,,Creates a mirrored copy of an item,,,,,,,,
Stackable Currency,Exalted Orb,35,,1,1,,,,defa,,2,,,,,,,,,Augments a rare item with a new random modifier,,,,,,,,
Stackable Currency,Divine Orb,35,,1,1,,,,defa,,2,,,,,,,,,Randomises the values of the random modifiers on an item,,,,,,,,
Stackable Currency,Chaos Orb,12,,1,1,,,,defa,,3,,,,,,,,,Reforges a rare item with new random modifiers,,,,,,,,
Stackable Currency,Vaal Orb,12,,1,1,,,,defa,,3,,,,,,,,,"Corrupts an item, modifying it unpredictably",,,,,,,,
Stackable Currency,Regal Orb,12,,1,1,,,,defa,,3,,,,,,,,,Upgrades a magic item to a rare item,,,,,,,,
Stackable Currency,Gemcutter's Prism,12,,1,1,,,,defa,,3,,,,,,,,,Improves the quality of a gem,,,,,,,,
Stackable Currency,Orb of Regret,2,,1,1,,,,defa,,4,,,,,,,,,Grants a passive skill refund point,,,,,,,,
Stackable Currency,Blessed Orb,35,,1,1,,,,defa,,4,,,,,,,,,Randomises the values of the implicit modifiers of an item,,,,,,,,
Stackable Currency,Glassblower's Bauble,2,,1,1,,,,defa,,4,,,,,,,,,Improves the quality of a flask or tincture,,,,,,,,
Stackable Currency,Orb of Alchemy,2,,1,1,,,,defa,,4,,,,,,,,,Upgrades a normal item to a rare item,,,,,,,,
Stackable Currency,Orb of Fusing,8,,1,1,,,,defa,,4,,,,,,,,,Reforges the links between sockets on an item,,,,,,,,
Stackable Currency,Orb of Scouring,12,,1,1,,,,defa,,4,,,,,,,,,Removes all modifiers from an item,,,,,,,,
Stackable Currency,Orb of Alteration,2,,1,1,,,,defa,,5,,,,,,,,,Reforges a magic item with new random modifiers,,,,,,,,
Stackable Currency,Orb of Chance,2,,1,1,,,,defa,,5,,,,,,,,,Upgrades a normal item to a random rarity,,,,,,,,
Stackable Currency,Jeweller's Orb,8,,1,1,,,,defa,,5,,,,,,,,,Reforges the number of sockets on an item,,,,,,,,
Stackable Currency,Chromatic Orb,20,,1,1,,,,defa,,5,,,,,,,,,Reforges the colour of sockets on an item,,,,,,,,
Stackable Currency,Scroll of Wisdom,1,,1,1,,,,defa,,7,,,,,,,,,Identifies an item,,,,,,,,
Stackable Currency,Portal Scroll,2,,1,1,,,,defa,,7,,,,,,,,,Creates a portal to town,,,,,,,,
Stackable Currency,Armourer's Scrap,1,,1,1,,,,defa,,6,,,,,,,,,Improves the quality of an armour,,,,,,,,
Stackable Currency,Blacksmith's Whetstone,1,,1,1,,,,defa,,6,,,,,,,,,Improves the quality of a weapon,,,,,,,,
Stackable Currency,Orb of Augmentation,1,,1,1,,,,defa,,6,,,,,,,,,Augments a magic item with a new random modifier,,,,,,,,
Stackable Currency,Orb of Transmutation,1,,1,1,,,,defa,,6,,,,,,,,,Upgrades a normal item to a magic item,,,,,,,,
Stackable Currency,Orb of Annulment,35,,1,1,,,,defa,,3,,,,,,,,,Removes a random modifier from an item,,,,,,,,
Stackable Currency,Orb of Binding,25,,1,1,,,,defa,,3,,,,,,,,,Upgrades a normal item to a rare item with up to four linked sockets,,,,,,,,
Stackable Currency,Ancient Orb,35,,1,1,,,,habi,,2,,,,,,,,,Reforges a unique equipment as another of the same item class,,,,,,,,
Stackable Currency,Annulment Shard,35,,1,1,,,,nonDrop,,4,,,,,,,,,,,,,,,,,
Stackable Currency,Chaos Shard,8,,1,1,,,,nonDrop,,4,,,,,,,,,,,,,,,,,
Stackable Currency,Mirror Shard,35,,1,1,,,,habi,,1,,,,,,,,,,,,,,,,,
Stackable Currency,Exalted Shard,35,,1,1,,,,nonDrop,,2,,,,,,,,,,,,,,,,,
Stackable Currency,Regal Shard,12,,1,1,,,,nonDrop,,4,,,,,,,,,,,,,,,,,
Stackable Currency,Alchemy Shard,1,,1,1,,,,habi,,4,,,,,,,,,,,,,,,,,
