name,Text,required_level,Enchant_pos
Armageddon Brand Attached Target Fire Penetration 1,Armageddon Brand Damage Penetrates 8% of Branded Enemy's Fire Resistance,66,h
Armageddon Brand Attached Target Fire Penetration 2,Armageddon Brand Damage Penetrates 12% of Branded Enemy's Fire Resistance,75,h
Armageddon Brand Repeat Frequency 1,Armageddon Brand has 8% increased Activation Frequency,66,h
Armageddon Brand Repeat Frequency 2,Armageddon Brand has 12% increased Activation Frequency,75,h
Enchantment Absolution Cast Speed 1,8% increased Absolution Cast Speed,66,h
Enchantment Absolution Cast Speed 2,12% increased Absolution Cast Speed,75,h
Enchantment Absolution Duration 1,20% increased Sentinel of Absolution Duration,66,h
Enchantment Absolution Duration 2,30% increased Sentinel of Absolution Duration,75,h
Enchantment Absolution Minion Area of Effect 1,Summoned Sentinels of Absolution have 16% increased Area of Effect,66,h
Enchantment Absolution Minion Area of Effect 2,Summoned Sentinels of Absolution have 24% increased Area of Effect,75,h
Enchantment Alchemist's Mark Curse Effect 1,20% increased Alchemist's Mark Curse Effect,66,h
Enchantment Alchemist's Mark Curse Effect 2,30% increased Alchemist's Mark Curse Effect,75,h
Enchantment Ambush Cooldown Recovery 1,20% increased Ambush Cooldown Recovery Rate,66,h
Enchantment Ambush Cooldown Recovery 2,30% increased Ambush Cooldown Recovery Rate,75,h
Enchantment Ambush Critical Strike Multiplier 1,Attacks Exerted by Ambush have +25% to Critical Strike Multiplier,66,h
Enchantment Ambush Critical Strike Multiplier 2,Attacks Exerted by Ambush have +40% to Critical Strike Multiplier,75,h
Enchantment Ancestral Protector Attack Speed 1,Ancestral Protector Totem grants 12% increased Attack Speed while Active,66,h
Enchantment Ancestral Protector Attack Speed 2,Ancestral Protector Totem grants 18% increased Attack Speed while Active,75,h
Enchantment Ancestral Protector Damage 1,Ancestral Protector Totem deals 25% increased Damage,66,h
Enchantment Ancestral Protector Damage 2,Ancestral Protector Totem deals 40% increased Damage,75,h
Enchantment Ancestral Protector Resistances 1,+24% to Ancestral Protector Totem Elemental Resistance,66,h
Enchantment Ancestral Protector Resistances 2,+36% to Ancestral Protector Totem Elemental Resistances,75,h
Enchantment Ancestral Protector Placement Speed 1,12% increased Ancestral Protector Totem Placement Speed,66,h
Enchantment Ancestral Protector Placement Speed 2,18% increased Ancestral Protector Totem Placement Speed,75,h
Enchantment Ancestral Warchief Damage 1,25% increased Ancestral Warchief Totem Damage,66,h
Enchantment Ancestral Warchief Damage 2,40% increased Ancestral Warchief Totem Damage,75,h
Enchantment Ancestor Warchief Melee Damage 1,Ancestral Warchief Totem grants 20% increased Melee Damage while Active,66,h
Enchantment Ancestor Warchief Melee Damage 2,Ancestral Warchief Totem grants 30% increased Melee Damage while Active,75,h
Enchantment Ancestor Warchief Area Of Effect 1,16% increased Ancestral Warchief Totem Area of Effect,66,h
Enchantment Ancestor Warchief Area Of Effect 2,24% increased Ancestral Warchief Totem Area of Effect,75,h
Enchantment Ancestral Cry Exerted Attack Damage 1,Attacks Exerted by Ancestral Cry deal 35% increased Damage,66,h
Enchantment Ancestral Cry Exerted Attack Damage 2,Attacks Exerted by Ancestral Cry deal 50% increased Damage,75,h
Enchantment Ancestral Cry Minimum Power 1,Ancestral Cry has a minimum of 10 Power,75,h
Enchantment Anger Reservation 1,Anger has 20% increased Mana Reservation Efficiency,66,h
Enchantment Anger Reservation 2,Anger has 30% increased Mana Reservation Efficiency,75,h
Enchantment Animate Guardian Damage 1,Animated Guardians deal 25% increased Damage,66,h
Enchantment Animate Guardian Damage 2,Animated Guardians deal 40% increased Damage,75,h
Enchantment Animate Guardian Elemental Resistances 1,+24% to Animated Guardian Elemental Resistances,66,h
Enchantment Animate Guardian Elemental Resistances 2,+36% to Animated Guardian Elemental Resistances,75,h
Enchantment Animate Weapon Chance To Create Additional Copy 1,16% chance to create an additional Animate Weapon copy,66,h
Enchantment Animate Weapon Chance To Create Additional Copy 2,24% chance to create an additional Animate Weapon copy,75,h
Enchantment Animate Weapon Damage 1,Animated Weapons deal 25% increased Damage,66,h
Enchantment Animate Weapon Damage 2,Animated Weapons deal 40% increased Damage,75,h
Enchantment Animate Weapon Duration 1,20% increased Animate Weapon Duration,66,h
Enchantment Animate Weapon Duration 2,30% increased Animate Weapon Duration,75,h
Enchantment Arcane Cloak Additional Mana Spent 1,Arcane Cloak Spends an additional 10% of current Mana,66,h
Enchantment Arcane Cloak Additional Mana Spent 2,Arcane Cloak Spends an additional 15% of current Mana,75,h
