name,Tier,Text,generation_type,required_level,Spawn_weights
of the Brute,11/11,+(8-12) to Strength,suffix,1,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Wrestler,10/11,+(13-17) to Strength,suffix,11,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Bear,9/11,+(18-22) to Strength,suffix,22,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Lion,8/11,+(23-27) to Strength,suffix,33,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Gorilla,7/11,+(28-32) to Strength,suffix,44,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Goliath,6/11,+(33-37) to Strength,suffix,55,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Leviathan,5/11,+(38-42) to Strength,suffix,66,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Titan,4/11,+(43-50) to Strength,suffix,74,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Gods,3/11,+(51-55) to Strength,suffix,82,"ring, amulet, belt, str_armour, str_dex_armour, str_int_armour, str_dex_int_armour, sword, mace, sceptre, staff, axe, default"
of the Godslayer,1/11,+(56-60) to Strength,suffix,85,"belt, default"
of the Essence,2/11,+(51-58) to Strength,suffix,82,default
of the Mongoose,11/11,+(8-12) to Dexterity,suffix,1,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Lynx,10/11,+(13-17) to Dexterity,suffix,11,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Fox,9/11,+(18-22) to Dexterity,suffix,22,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Falcon,8/11,+(23-27) to Dexterity,suffix,33,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Panther,7/11,+(28-32) to Dexterity,suffix,44,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Leopard,6/11,+(33-37) to Dexterity,suffix,55,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Jaguar,5/11,+(38-42) to Dexterity,suffix,66,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
of the Phantom,4/11,+(43-50) to Dexterity,suffix,74,"ring, amulet, gloves, quiver, dex_armour, dex_int_armour, str_dex_armour, str_dex_int_armour, bow, sword, axe, claw, dagger, default"
